Title,Rating,Votes,Duration,Genre
332. Nice Girls,4.2, (1.2K),1h 32m,Action
333. Kondal,5.3, (795),2h 27m,Action
334. Witch Hunter,4.8, (26),1h 20m,Action
335. Get Fast,3.7, (477),1h 28m,Action
336. 12 Gaun,6.3, (934),2h 27m,Action
337. Snow White and the Seven Samurai,3.1, (313),1h 28m,Action
338. Bhaiyya Ji,4.8, (7.4K),2h 30m,Action
339. Sucha Soorma,6.4, (953),2h 16m,Action
340. School of Magical Animals 3,5.7, (346),1h 45m,Action
341. Bionic,4.3, (1.8K),1h 50m,Action
342. Conquer: Lahad Datu,6.6, (547),2h,Action
343. Thundu,5.0, (921),2h 5m,Action
344. Mechanic Rocky,6.4, (3.5K),2h 36m,Action
345. Zebra,7.2, (3.2K),2h 44m,Action
346. Rathnam,5.4, (3.7K),2h 35m,Action
347. Gatao: Like Father Like Son,5.7, (250),2h 11m,Action
348. Roadkill,3.7, (694),1h 30m,Action
349. War of the Worlds: Extinction,3.0, (212),1h 24m,Action
350. Naam,6.4, (284),2h 16m,Action
351. No Time to Spy: A Loud House Movie,6.3, (490),1h 21m,Action
352. Mahadev Ka Gorakhpur,7.5, (396),2h 11m,Action
353. Mobile Suit Gundam SEED Freedom,6.6, (980),2h 4m,Action
354. Barroz,3.4, (1K),2h 35m,Action
355. The Last Ronin,4.9, (591),1h 55m,Action
356. Alangu,8.0, (1.2K),2h 11m,Action
357. Hellhound,4.3, (522),1h 43m,Action
359. Bloody Beggar,6.2, (4.4K),2h 14m,Action
360. Bastar: The Naxal Story,6.4, (3.3K),2h 4m,Action
361. Big City Greens the Movie: Spacecation,6.2, (575),1h 23m,Action
362. The Unbreakable Bunch,7.5, (33),1h 25m,Action
363. Bangkok Dog,4.8, (239),1h 25m,Action
364. Mu zhong wu ren 2,6.6, (540),1h 30m,Action
365. Pusaka,5.2, (190),1h 30m,Action
366. Virunnu,4.0, (950),2h 5m,Action
367. Snatched,6.1, (533),1h 41m,Action
368. Return to the Ring,5.3, (751),1h 46m,Action
369. The Wolf,3.4, (39),1h 27m,Action
370. Ruslaan,3.3, (1.3K),2h,Action
371. Viswam,4.2, (652),2h 35m,Action
372. 12 to Midnight,3.6, (294),1h 36m,Action
373. Lady Scorpions,3.6, (374),1h 41m,Action
374. Chhota Bheem and the Curse of Damyaan,4.8, (2.3K),2h 25m,Action
375. Anchakkallakokkan,6.6, (1K),2h 6m,Action
376. Bheema,5.7, (966),2h 28m,Action
377. Sons of Rizk 3,6.6, (1.8K),2h 5m,Action
378. Pimpinero: Blood and Oil,5.6, (573),2h 1m,Action
379. The Mick and the Trick,4.8, (82),1h 36m,Action
380. Blade of Fury,6.1, (137),1h 30m,Action
381. The Last of Us: Immunity,4.4, (31),1h 4m,Action
382. Agents,3.3, (948),1h 22m,Action
383. Naa Saami Ranga,4.5, (1.2K),2h 30m,Action
384. Midas,4.6, (346),1h 25m,Action
386. The Plot,4.8, (398),1h 40m,Action
387. The Lost Tiger,7.9, (51),1h 30m,Action
388. Lie Zhan,6.6, (82),1h 33m,Action
389. Rats!,6.5, (166),1h 25m,Action
390. First Nights at Freddy's,9.4, (19),1h 38m,Action
391. Taken from Rio Bravo,3.0, (322),1h 20m,Action
392. Hunting with Tigers,5.6, (556),1h 49m,Action
393. Bull Shark 2,2.8, (209),1h 15m,Action
394. Crisis Negotiators,6.7, (744),2h,Action
395. Zero,5.9, (83),1h 28m,Action
396. WWII: Operation Phoenix,5.8, (98),1h 46m,Action
397. Malayalee from India,5.6, (5.1K),2h 40m,Action
398. Dirty Money,5.6, (178),1h 40m,Action
400. Alpha.,6.9, (265),1h 40m,Action
401. Bhimaa,5.1, (1.2K),2h 21m,Action
402. Dange,5.3, (806),2h 34m,Action
403. Road Wars: Max Fury,2.0, (368),1h 23m,Action
404. Weapon,5.4, (5.5K),2h,Action
405. Big Rage,3.6, (174),1h 55m,Action
406. 6 Hours Away,4.0, (254),1h 33m,Action
407. Lisabi: The Uprising,5.2, (141),1h 47m,Action
408. Clone Cops,5.8, (268),1h 36m,Action
410. Stuntman,6.9, (204),1h 54m,Action
411. (Pri)sons,5.0, (293),1h 40m,Action
